SubjectID,Gender,Age,BallExperience,TrialID,TrialID_in_block,BlockID,BoardID,SU_level,HV_primary,HV_secondary_count,HV_secondary_collision,PhysOutcome,Ball_start_x,Ball_start_side,Stim_onset,Response_time,RT,Choice,Correct,Confidence_response_time,Confidence_RT,Confidence,Feedback_onset,Ball_drop_start,Ball_drop_end
1,男,1,50,1,1,1,B0307,0,conflict,equal,conflict,left,1152.0,right,11.620484900005977,12.339436399997794,718.9514999918174,right,0,13.106453400003375,767.0170000055805,50,13.106465200005914,13.10668209999858,15.131525699995109
1,男,1,50,2,2,1,B0195,5,congruent,conflict,congruent,right,1152.0,right,16.874649899997166,17.395636600005673,520.9867000085069,right,1,18.10055600000487,704.9193999991985,50,18.100565800006734,18.10095900000306,21.502011999997194
1,男,1,50,3,3,1,B0337,0,conflict,conflict,conflict,left,1152.0,right,23.155976900001406,23.919838400004664,763.8615000032587,right,0,24.633013500002562,713.1750999978976,50,24.6330231000029,24.633278199995402,26.857844800004386
1,男,1,50,4,4,1,B0304,0,conflict,congruent,conflict,right,768.0,left,28.747449100002996,30.16865790000884,1421.208800005843,right,1,31.053224500006763,884.5665999979246,50,31.053234200007864,31.053417300005094,32.72132579999743
1,男,1,50,5,5,1,B0156,3,congruent,congruent,congruent,right,1152.0,right,34.43981490000442,35.34302290000778,903.2080000033602,left,0,36.05527910000819,712.2562000004109,50,36.05528790000244,36.05549300000712,38.04558079999697
1,男,1,50,6,6,1,B0387,0,conflict,conflict,conflict,right,768.0,left,39.765333200004534,40.65323080000235,887.8975999978138,left,0,41.305629900001804,652.3990999994567,50,41.30563899999834,41.30584539999836,43.156617200002074
1,男,1,50,7,7,1,B0367,0,conflict,conflict,conflict,left,1152.0,right,45.170663400000194,46.267529400007334,1096.8660000071395,right,0,46.959923100002925,692.3936999955913,50,46.959932700003264,46.96012420000625,48.52458640000259
1,男,1,50,8,8,1,B0416,0,conflict,equal,conflict,right,768.0,left,50.287296599999536,51.31122650000907,1023.9299000095343,left,0,51.87262750000809,561.400999999023,50,51.87263690000691,51.87287720000313,54.27869770000689
1,男,1,50,9,9,1,B0312,0,conflict,equal,conflict,left,1152.0,right,55.994736900000134,57.176467299999786,1181.7303999996511,right,0,57.77583320000849,599.3659000087064,50,57.77584560000105,57.77617090000422,60.308289599997806
